時間,データ,分単位からカウント,状態,
2024/1/21 18:52,1931,87,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:53,1910,88,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:54,2174,89,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:55,1787,90,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:56,569,91,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:57,374,92,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:58,316,93,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:59,317,94,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:00,606,95,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:01,649,96,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:02,702,97,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:03,784,98,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:04,838,99,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:05,797,100,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:06,671,101,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:07,726,102,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:08,684,103,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:09,573,104,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:10,276,105,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:11,292,106,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:12,347,107,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
